"man_unit","tenure_type","original_thlb_minus_protected_prohibited","original_thlb_minus_protected_prohibited","original_thlb_minus_protected_prohibited_high_res","original_thlb_minus_protected_prohibited_high_res_15","thlb_proxy_protected_prohibited_high_restr_15","thlb_proxy_slope","thlb_proxy_vri","thlb_proxy_no_cutblock_ws"
"TFL1","TFL",67966.1451386958,67932.8721387163,61150.8251393288,62664.6251393272,140379.5,95823.5,92372.5,2146.5
"TFL14","TFL",53782,46814,46469,46844.4499999997,78072.3,63063.3,60022.3,1383.3
"TFL18","TFL",53407.9610000253,53394.9610000253,53394.9610000253,53394.9610000253,66515,65934,64726,0
"TFL19","TFL",75788.1583060026,74742.71832937,73424.6383588314,73852.8883588308,142998.95,111058.95,83721.95,496.95
"TFL23","TFL",155201.530396968,136616.830302924,136616.830302924,136616.830302924,204389,157700,153945,0
"TFL25","TFL",47991.9604320955,39677.0604068618,38394.7103836518,38752.6103836517,84379.4,70539.4,38238.4,362.4
"TFL26","TFL",7255,7246,7245,7246.95,9477.25,9187.25,8980.25,11.25
"TFL3","TFL",27918.8330062628,26443.1529794931,26443.1529794931,26443.1529794931,56460,32293,30621,0
"TFL30","TFL",122923.764999628,110822.049999714,110822.049999714,110822.049999714,135442,133997,133192,0
"TFL33","TFL",7297,7020,6337,6453.69999999999,7077.6,6669.6,6633.6,117.6
"TFL35","TFL",31327.877579987,31210.877579987,31023.877579987,31055.0775799871,35119.5,34835.5,34724.5,31.5
"TFL37","TFL",85443.546813827,85341.2228143625,85341.2228143625,85341.2228143625,119529,109736,97542,0
"TFL38","TFL",25678.5000114441,24168.4000092745,24106.9000092745,24129.4000092745,34213.3,30399.3,23079.3,1473.3
"TFL39","TFL",52946.7629949823,52632.8569924682,52597.0539920777,52604.4039920777,80463.65,66353.65,65690.65,112.65
"TFL41","TFL",32368.8252651431,29136.3865597248,29119.4765598178,29122.1765598178,90445.25,55503.25,52621.25,5.25
"TFL43","TFL",1462.01995435357,1286.45995983481,1286.45995983481,1286.45995983481,3076,3074,2996,0
"TFL44","TFL",78188.5509345308,77143.2909213975,76817.0409187153,76907.1909187152,117707.95,109544.95,101139.95,91.95
"TFL45","TFL",23290.3538584113,20200.413852632,20118.413852632,20137.7638526321,48523.35,35971.35,25283.35,19.35
"TFL46","TFL",43764.400510706,41369.170494549,40763.8904943615,40930.2404943614,51846.35,49681.35,48889.35,166.35
"TFL47","TFL",90291.2582411766,70004.7387341261,68220.73877424,68560.0387742396,90915.6,88050.6,79303.6,339.6
"TFL48","TFL",341647.588559963,334911.618559934,284451.618559934,295785.318559994,413471.1,400834.1,375599.1,15530.1
"TFL49","TFL",76884,73410,70640,71137.0999999994,99504.4,96418.4,95851.4,527.4
"TFL52","TFL",164005.548999965,144059.548999965,143400.548999965,143554.298999965,198645.35,197324.35,194604.35,166.35
"TFL53","TFL",67754.3656217754,67754.3656217754,67719.6356213391,67729.6856213391,84058.05,84050.05,82281.05,10.05
"TFL54","TFL",47636.0200000107,47527.0200000107,1907,19985.3000000063,22868.6,22445.6,21873.6,19797.6
"TFL55","TFL",15998.5232151449,15932.2980149686,15932.2980149686,15932.2980149686,35422,18234,17391,0
"TFL56","TFL",18542.5207368135,13303.4405286312,13303.4405286312,13303.4405286312,50286,25672,24380,0
"TFL58","TFL",12203.7874348966,12203.7874348966,12096.0587343641,12123.3587343641,23347.3,23006.3,19873.3,27.3
"TFL59","TFL",34805.9591655731,32880.3592128754,31775.1092400551,31990.2092400551,41330.85,40560.85,40005.85,233.85
"TFL6","TFL",129083.549399927,126715.799441978,126513.449446186,126562.349446186,175793.05,169363.05,153590.05,49.05
"TFL60","TFL",49786.9770876399,49782.8350876388,49643.3947872894,49717.6447872894,125941.45,121762.45,85689.45,75.45
"TFL61","TFL",16170.0200238861,15912.4400238879,15793.9500238784,15837.6000238784,19168.9,18772.9,16352.9,45.9
"TFL64","TFL",91465.1820338368,89895.5149796158,88980.2009659261,89171.4509659258,112301.85,106726.85,103795.85,275.85
"TFL8","TFL",71804,65206,65203,65204.05,67190.95,65703.95,65364.95,1.95
